Modelo,MAE,MSE,RMSE,AIC,R2,MAE_rank_RedutorGiroFrontal,MSE_rank_RedutorGiroFrontal,R2_rank_RedutorGiroFrontal,AIC_rank_RedutorGiroFrontal,RMSE_rank_RedutorGiroFrontal,Total_rank_RedutorGiroFrontal
SARIMAXRedutorGiroFrontal,7.342954096584654,109.24177409709864,10.451878974476246,1317.9895246830492,-0.084150822167125,6.0,6.0,6.0,5.0,6.0,29.0
RNNGRURedutorGiroFrontal,3.655057373046875,25.405185765146744,5.040355718116207,1813.7476658584008,0.6362039796724395,2.0,2.0,1.0,6.0,2.0,13.0
RNNLSTMRedutorGiroFrontal,0.12784825781981152,0.03142654684548985,0.17727534189923272,1898.9948848843676,-0.03684707550532451,1.0,1.0,4.0,7.0,1.0,14.0
RLMRedutorGiroFrontal,6.3768307042084,77.17303651732199,8.784818525007902,24.529933295597637,-0.0390362820552026,5.0,5.0,5.0,2.0,5.0,22.0
ARIMARedutorGiroFrontal,17.601269427667614,327.321724465014,18.092034834838618,1094.7334082331363,-17.867196861735362,7.0,7.0,7.0,4.0,7.0,32.0
SVRRedutorGiroFrontal,5.2661634439043,75.58621765750267,8.694033451597864,226.9142459432969,-0.019313090829290447,4.0,4.0,3.0,3.0,4.0,18.0
SVR_AjusRedutorGiroFrontal,4.113933687078554,37.11417272172744,6.092140241469121,12.386752018218438,0.5463697378086562,3.0,3.0,2.0,1.0,3.0,12.0
